navel | emb | n
to give | xok | v
to fall | tajz | v
leg/foot | gow | n
ant | sojr | n
dog | oq | n
egg | naj | n
louse | xaw | n
in | es |
to cry/weep | pam |
fly (insect) | ing |
to eat | bon |
1sg | ji(q) |
2sg | zu(q) |
dem-sg | qe |
1du | zit |
2du | rit |
dem-du | qet |
1pl | gi |
2pl | di |
dem-pl | qeq |
eye | jok |
root | dird |
black | sim |
soil | gam |
new | kez |
to blow | kus |
to drink | kik |
liver | tux |
bone | wej |
to do/to make | qi |
to laugh | molk |
name | gim |
fish | bux |
to hear | lik |
blood | owg |
to see | ag |
salt | gaz |
hard | wid |
stone/rock | zub |
flesh/meat | mur |
good | juk |
not | er |
mouth | gik |
big | erg |
rope | mod |
far | kir |
to bite | tel |
to say | zak |
old | seng |
to hit/to beat | wam |
fire | qax |
to run | lejr |
hair | junk |
neck | gib |
leaf | ojb |
bitter | jod |
heavy | ped |
horn | owr |
to burn (intransitive) | sols |
small | lej |
house | urq |
breast | rod |
smoke | zirg |
star | malb |
bird | lo |
to suck | jag |
hide/skin | sejn |
back | laz |
knee | ens |
rain | dat |
1 | as |
2 | tax |
3 | lejq |
4 | kit |
5 | xejk |
6 | lejt |
7 | lejdejt |
8 | tadejt |
9 | asdejt |
10 | xejt |
11 | asduk |
12 | buk |
knuckle | buk |
to go | ju |
night | narz |
ash | paw |
red | mund |
to crush/to grind | gir |
to carry | xiz |
ear | miq |
to know | xewd |
nose | jus |
to stand | am |
sand | xort |
long | siz |
second, other | um |
fish | ziw |
leaf | xun |
good | gajd |
bad | mit |
tree | tuj |
arrow | zax |
bow | der |
to pull | dil |
ablative preposition | da- |
acquire | pir |
try | zajw |
color, shine | taj |
white | zimb |
green | sip |
and | et |
but | ox |
what | i |
where | it |
locative preposition | ta- |
when | ix |
temporalis preposition | xa- |
why | im |
ergative preposition | ma- |
how many | iw |
equative preposition | wa- |
man | mug |
father | ux |
entrails | wiz |
to breathe | lu |
lungs | wir |
throat, neck | dis |
now | li |
today | awx |
year, a long time | ur |
tomorrow | lus |
since, abtemporalis preposition | pa |
yet | ol |
yesterday | xar |
uh | e |
to have | bajt |
to talk | bal |
wind | qelu |
here | qit |
head | sag |
believe | pur |
want | zek |
what + ablative preposition | id |
